DateOfMatch,Penalty1,Penalty2,Penalty3,Penalty4,Penalty5,Penalty6,Penalty7,Penalty8,MatchID,PenaltiesID
10/12/2016,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1560
18/12/2016,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1561
15/01/2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1562
21/01/2017,Will Addison,Will Addison,Will Addison,Will Addison,Will Addison,NULL,NULL,NULL,1000,1563
04/11/2016,Tom Arscott,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1564
11/11/2016,Dan Mugford,Tom Arscott,NULL,NULL,NULL,NULL,NULL,NULL,1000,1565
27/01/2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1566
03/02/2017,Will Addison,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1567
02/09/2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1568
08/09/2017,AJ MacGinty,AJ MacGinty,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,1000,1569
15/09/2017,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1570
23/09/2017,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1571
29/09/2017,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1572
06/10/2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1573
27/10/2017,Faf de Klerk,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,1000,1574
19/11/2017,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1575
25/11/2017,Will Cliff,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,1000,1576
01/12/2017,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,1000,1577
23/12/2017,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,1000,1578
30/12/2017,AJ MacGinty,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,1000,1579
06/01/2018,Faf de Klerk,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,1000,1580
10/02/2018,Faf de Klerk,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,1000,1581
16/02/2018,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1582
24/02/2018,Faf de Klerk,Faf de Klerk,Faf de Klerk ,Faf de Klerk ,Faf de Klerk ,NULL,NULL,NULL,1000,1583
03/03/2018,Faf de Klerk,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,1000,1584
24/03/2018,Faf de Klerk,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,1000,1585
06/04/2018,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,1000,1586
13/04/2018,AJ MacGinty,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,1000,1587
28/04/2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1588
05/05/2018,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,1000,1589
13/10/2017,Faf de Klerk,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,1000,1590
20/10/2017,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1591
03/11/2017,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1592
10/11/2017,AJ MacGinty,AJ MacGinty,AJ MacGinty,Will Cliff,NULL,NULL,NULL,NULL,1000,1593
09/12/2017,AJ MacGinty,AJ MacGinty,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,1000,1594
17/12/2017,Will Cliff,Will Cliff,NULL,NULL,NULL,NULL,NULL,NULL,1000,1595
13/01/2018,Will Cliff,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1596
20/01/2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1597
27/01/2018,Will Addison,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1598
02/02/2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1599
17/10/2015,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1600
23/10/2015,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1601
01/11/2015,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,1000,1602
06/11/2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1603
22/12/2018,Rob du Preez,Rob du Preez,Rob du Preez,Rob du Preez,Rob du Preez,NULL,NULL,NULL,1000,1604
12/01/2019,Faf de Klerk,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,1000,1605
29/12/2018,Rob du Preez,Rob du Preez,NULL,NULL,NULL,NULL,NULL,NULL,1000,1606
04/01/2019,Rob du Preez,Rob du Preez,Rob du Preez,Rob du Preez,NULL,NULL,NULL,NULL,1000,1607
19/01/2019,Faf de Klerk,Will Cliff,NULL,NULL,NULL,NULL,NULL,NULL,1000,1608
16/02/2019,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1609
03/02/2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1610
23/02/2019,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1611
08/03/2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1612
02/03/2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1613
23/03/2019,Faf de Klerk,Faf de Klerk,NULL,NULL,NULL,NULL,NULL,NULL,1000,1614
29/03/2019,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,1000,1615
05/04/2019,AJ MacGinty,AJ MacGinty,AJ MacGinty,AJ MacGinty,AJ MacGinty,AJ MacGinty,AJ MacGinty,NULL,1000,1616
13/04/2019,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,1000,1617
20/04/2019,AJ MacGinty,AJ MacGinty,NULL,NULL,NULL,NULL,NULL,NULL,1000,1618
