ScoresID,DateOfMatch,HomeTeam,HomeScore,AwayTeam,AwayScore,Result,Competition,MatchID
1082,01/01/2017,1,23,12,24,L,1,NULL
1083,07/01/2017,24,29,1,26,L,1,NULL
1084,15/01/2017,51,27,1,12,L,4,NULL
1085,21/01/2017,1,25,38,23,W,4,NULL
1086,27/01/2017,1,41,23,3,W,2,NULL
1087,03/02/2017,24,10,1,13,W,2,NULL
1088,10/02/2017,1,26,8,24,W,1,NULL
1089,19/02/2017,1,34,3,28,W,1,NULL
1090,25/02/2017,2,29,1,18,L,1,NULL
1091,03/03/2017,1,12,11,32,L,1,NULL
1092,25/03/2017,13,30,1,25,L,1,NULL
1093,07/04/2017,1,36,10,26,W,1,NULL
1094,15/04/2017,6,39,1,30,L,1,NULL
1095,29/04/2017,4,41,1,18,L,1,NULL
1096,06/05/2017,1,27,5,24,W,1,NULL
1097,02/09/2017,3,50,1,35,L,1,NULL
1098,08/09/2017,1,12,8,13,L,1,NULL
1099,15/09/2017,1,36,7,7,W,1,NULL
1100,23/09/2017,2,41,1,13,L,1,NULL
1101,29/09/2017,1,57,6,10,W,1,NULL
1300,06/10/2017,24,42,1,26,L,1,NULL
1102,13/10/2017,1,20,22,20,D,4,NULL
1103,20/10/2017,92,27,1,24,L,4,NULL
1104,27/10/2017,1,6,13,10,L,1,NULL
1105,03/11/2017,10,21,1,24,W,2,NULL
1106,10/11/2017,1,29,2,22,W,2,NULL
1107,19/11/2017,4,35,1,17,L,1,NULL
1108,25/11/2017,1,18,11,15,W,1,NULL
