MatchID,DateOfMatch,Opponent,Venue
155,25/07/1908,1007,Potter's Park
156,05/08/1908,1027,Sydney Cricket Ground
157,08/08/1908,1027,Sydney Cricket Ground
158,12/08/1908,1073,Cricket Ground
159,15/08/1908,1072,Sydney Cricket Ground
160,19/08/1908,1071,Newcastle Cricket Ground
161,22/08/1908,1027,Sydney Cricket Ground
162,26/08/1908,1035,Exhibition Grounds
163,29/08/1908,1035,Exhibition Grounds
164,02/09/1908,#N/A,Exhibition Grounds
165,26/05/1910,1091,
166,29/05/1910,1092,
167,02/06/1910,1093,
168,05/06/1910,1094,
169,11/06/1910,1095,Mossel Bay
170,12/06/1910,1001,
171,15/06/1910,1075,Newlands
172,17/06/1910,1096,
173,18/06/1910,1097,Newlands
174,22/06/1910,1076,Newlands
175,25/06/1910,1044,Newlands
176,29/06/1910,1047,Kimberley Athletic Ground
177,02/07/1910,1056,Wanderers Ground
178,05/07/1910,1077,Pretoria
179,07/07/1910,1054,Johannesburg
180,09/07/1910,1056,Johannesburg
181,13/07/1910,1098,Pietermaritzburg
182,16/07/1910,1098,Lords Ground
183,20/07/1910,1080,Ramblers Ground
184,23/07/1910,1047,Kimberley Athletic Ground
185,27/07/1910,1045,Kimberley Athletic Ground
186,30/07/1910,1099,Bulawayo
187,06/08/1910,1008,Wanderers Ground
188,10/08/1910,1100,Burgersdorp
189,13/08/1910,1101,East London
190,17/08/1910,1101,King Williams Town
191,20/08/1910,1049,Port Elizabeth
192,27/08/1910,1008,Crusaders Ground
193,02/09/1910,1008,Newlands
194,06/09/1910,1044,Newlands
195,12/07/1924,1102,Newlands
196,15/07/1924,1103,Newlands
197,19/07/1924,1047,Kimberley
198,24/07/1924,1104,Salisbury Sports Ground
199,30/07/1924,1105,Potchefstroom
200,02/08/1924,1056,Wanderers Ground
201,06/08/1924,1106,Kroonstad
202,09/08/1924,1107,Bloemfontein
203,13/08/1924,1098,Pietermaritzburg
204,16/08/1924,1008,Kingsmead
205,20/08/1924,1079,Wanderers Ground
206,23/08/1924,1008,Wanderers Ground
207,27/08/1924,1077,Pretoria
208,30/08/1924,1108,Kimberley
209,03/09/1924,1100,Aliwal North
210,06/09/1924,1101,East London
211,10/09/1924,1049,Port Elizabeth
212,13/09/1924,1008,Crusaders Ground
213,16/09/1924,1095,Oudtshoorn
214,20/09/1924,1008,Newlands
215,25/09/1924,1044,Newlands
216,24/07/1927,1109,
217,27/07/1927,1110,
218,31/07/1927,1001,
219,03/08/1927,1111,
220,07/08/1927,1001,
221,10/08/1927,1112,
222,14/08/1927,1001,
223,15/08/1927,1113,
224,21/08/1927,1001,
225,21/05/1930,1042,Cook's Gardens
226,24/05/1930,1090,Pukekara Park
227,28/05/1930,1114,Showgrounds Oval
228,31/05/1930,1115,Masterton
229,03/06/1930,1023,Athletic Park
230,07/06/1930,1022,Lancaster Park
231,11/06/1930,1086,Victoria Park
232,14/06/1930,1021,Carisbrook
233,21/06/1930,1007,Carisbrook
234,25/06/1930,1084,Invercargill
235,28/06/1930,1116,Timaru
236,05/07/1930,1007,Lancaster Park
237,09/07/1930,1117,Athletic Park
238,12/07/1930,1039,McLean Park
239,16/07/1930,1118,The Oval
240,19/07/1930,1026,Eden Park
241,26/07/1930,1007,Eden Park
242,30/07/1930,1119,Rugby Park
243,02/08/1930,1120,Rugby Park
244,09/08/1930,1007,Athletic Park
245,12/08/1930,1087,Lansdowne Park
246,23/08/1930,1027,Sydney Cricket Ground
247,30/08/1930,1002,Sydney Cricket Ground
248,03/09/1930,1035,Exhibition Grounds
249,06/09/1930,1121,Exhibition Grounds
250,10/09/1930,1027,Sydney Cricket Ground
251,13/09/1930,1032,Melbourne Cricket Ground
252,22/09/1930,1122,Brennan Park
253,01/10/1930,1123,The Racecourse
254,15/07/1936,1094,
255,19/07/1936,1124,
256,22/07/1936,1125,
257,26/07/1936,1093,
258,29/07/1936,1126,
259,02/08/1936,1127,
260,05/08/1936,1128,
261,09/08/1936,1092,
262,16/08/1936,1001,
263,23/08/1936,1129,
264,11/06/1938,1101,Recreation Ground
265,15/06/1938,1047,Kimberley
266,18/06/1938,1102,Newlands
267,22/06/1938,1095,Recreation Ground
268,25/06/1938,1044,Newlands
269,29/06/1938,1105,Olen Park
270,02/07/1938,1107,Springbok Park
271,06/07/1938,1106,Loubser Park
272,09/07/1938,1056,Emirates Airline Park
273,13/07/1938,1130,Caledonian Ground
274,16/07/1938,1108,De Beers Stadium
275,20/07/1938,1104,Salisbury Sports Ground
276,23/07/1938,1104,Hartsfield Ground
277,30/07/1938,1056,Emirates Airline Park
278,06/08/1938,1008,Emirates Airline Park
279,13/08/1938,1131,Kingsmead
280,17/08/1938,1098,Woodburn
281,20/08/1938,1101,East London
282,24/08/1938,1100,Burgersdorp
283,27/08/1938,1049,St George's Park
284,03/09/1938,1008,Crusaders Ground
285,10/09/1938,1008,Newlands
286,17/09/1938,1103,Newlands
287,21/09/1938,1075,Newlands
288,10/05/1950,1087,Trafalgar Park
289,13/05/1950,1132,Victoria Square
290,16/05/1950,1133,Victoria Park
291,20/05/1950,1021,Carisbrook
292,23/05/1950,1084,Invercargill
293,27/05/1950,1007,Carisbrook
294,31/05/1950,1085,Fraser Park
295,03/06/1950,1022,Lancaster Park
296,06/06/1950,1116,Showgrounds
297,10/06/1950,1007,Lancaster Park
298,14/06/1950,1115,Solway Showgrounds
299,17/06/1950,1039,McLean Park
300,21/06/1950,1134,The Oval
301,24/06/1950,1023,Athletic Park
302,01/07/1950,1007,Athletic Park
303,05/07/1950,1042,Spriggens Park
304,08/07/1950,1090,New Plymouth
305,12/07/1950,1089,Showgrounds Oval
306,15/07/1950,1120,Hamilton
307,19/07/1950,1119,Whangarei
308,22/07/1950,1026,Eden Park
309,29/07/1950,1007,Eden Park
310,02/08/1950,1117,Athletic Park
311,09/08/1950,1135,Manuka Oval
312,12/08/1950,1027,Sydney Cricket Ground
313,19/08/1950,1002,The Gabba
314,26/08/1950,1002,Sydney Cricket Ground
315,29/08/1950,1072,Sydney Cricket Ground
316,04/09/1950,1027,Newcastle Cricket Ground
317,18/09/1950,1123,Colombo Racecourse
318,22/06/1955,1105,Olen Park
319,25/06/1955,1047,De Beers Stadium
320,29/06/1955,1136,Emirates Airline Park
321,02/07/1955,1107,Loubser Park
322,05/07/1955,1137,Mable Volk Ground
323,09/07/1955,1044,Newlands
324,13/07/1955,1095,Recreation Ground
325,16/07/1955,1049,Crusaders Ground
326,20/07/1955,1100,Aliwal North
327,23/07/1955,1056,Emirates Airline Park
328,27/07/1955,1104,Rhokana Ground
329,30/07/1955,1104,Police Ground
330,06/08/1955,1008,Emirates Airline Park
331,10/08/1955,1138,Kingsmead
332,13/08/1955,1139,Wellington
333,16/08/1955,1103,Newlands
334,20/08/1955,1008,Newlands
335,24/08/1955,1140,PAM Stadium
336,27/08/1955,1130,Loftus Versfeld
337,03/09/1955,1008,Loftus Versfeld
338,10/09/1955,1098,Kingsmead
339,14/09/1955,1141,Free State Stadium
340,17/09/1955,1101,BRU Ground
341,24/09/1955,1008,Crusaders Ground
342,28/09/1955,1142,Ngong Road Ground
343,23/05/1959,1032,Olympic Park
344,30/05/1959,1027,Sydney Sports Ground
345,02/06/1959,1035,Exhibition Grounds
346,06/06/1959,1002,Exhibition Grounds
347,09/06/1959,1135,No 1 Oval
348,13/06/1959,1002,Sydney Sports Ground
349,20/06/1959,1039,McLean Park
350,24/06/1959,1118,Rugby Park
351,27/06/1959,1026,Eden Park
352,01/07/1959,1143,Lancaster Park
353,04/07/1959,1021,Carisbrook
354,08/07/1959,1144,Fraser Park
355,11/07/1959,1084,Rugby Park
356,18/07/1959,1007,Carisbrook
357,22/07/1959,1086,Rugby Park
358,25/07/1959,1022,Lancaster Park
359,29/07/1959,1087,Lansdowne Park
360,01/08/1959,1023,Athletic Park
361,05/08/1959,1042,Spriggens Park
362,08/08/1959,1090,Rugby Park
363,11/08/1959,1089,Showgrounds Oval
364,15/08/1959,1007,Athletic Park
365,19/08/1959,1145,Domain
366,22/08/1959,1146,Rugby Park
367,25/08/1959,1115,Solway Showgrounds
368,29/08/1959,1007,Lancaster Park
369,02/09/1959,1147,Athletic Park
370,05/09/1959,1117,Eden Park
371,09/09/1959,1148,Rugby Park
372,12/09/1959,1119,Rugby Park
373,19/09/1959,1007,Eden Park
374,26/09/1959,1149,Empire Stadium
375,29/09/1959,1150,Varsity Stadium
376,26/05/1962,1104,Hartsfield Ground
377,30/05/1962,1047,De Beers Stadium
378,02/06/1962,1105,Olen Park
379,06/06/1962,1103,Newlands
380,09/06/1962,1139,Boland Stadium
381,12/06/1962,1137,South-West Stadium
382,16/06/1962,1130,Loftus Versfeld
383,23/06/1962,1008,Emirates Airline Park
384,27/06/1962,1098,King's Park
385,30/06/1962,1049,Boet Erasmus Stadium
386,04/07/1962,1107,Free State Stadium
387,07/07/1962,1141,Loftus Versfeld
388,11/07/1962,1151,Olen Park
389,14/07/1962,1044,Newlands
390,17/07/1962,1095,Recreation Ground
391,21/07/1962,1008,King's Park
392,25/07/1962,1152,PAM Stadium
393,28/07/1962,1056,Emirates Airline Park
394,04/08/1962,1008,Newlands
395,08/08/1962,1100,Danie Craven Stadium
396,11/08/1962,1101,BRU Ground
397,15/08/1962,1138,Boet Erasmus Stadium
398,18/08/1962,1140,PAM Stadium
399,25/08/1962,1008,Free State Stadium
400,28/08/1962,1142,Ngong Road Ground
401,07/05/1966,1122,Perry Lakes Stadium
402,11/05/1966,1153,Norwood Oval
403,14/05/1966,1032,Olympic Park
404,18/05/1966,1135,Manuka Oval
405,21/05/1966,1027,Sydney Sports Ground
406,28/05/1966,1002,Sydney Cricket Ground
407,31/05/1966,1035,Lang Park
408,04/06/1966,1002,Lang Park
409,11/06/1966,1084,Invercargill
410,15/06/1966,1144,Fraser Park
411,18/06/1966,1021,Dunedin
412,22/06/1966,1143,Lancaster Park
413,25/06/1966,1023,Wellington
414,29/06/1966,1087,Nelson
415,02/07/1966,1090,Rugby Park
416,06/07/1966,1154,Rotorua
417,09/07/1966,1119,Whangarei
418,16/07/1966,1007,Carisbrook
419,20/07/1966,1086,Westport
420,23/07/1966,1022,Lancaster Park
421,27/07/1966,1089,Palmerston North
422,30/07/1966,1026,Auckland
423,02/08/1966,1115,Memorial Park
424,06/08/1966,1007,Athletic Park
425,10/08/1966,1155,Spriggens Park
426,13/08/1966,1156,Auckland
427,17/08/1966,1118,Rugby Park
428,20/08/1966,1039,McLean Park
429,27/08/1966,1007,Lancaster Park
430,31/08/1966,1147,Athletic Park
431,03/09/1966,1146,Rugby Park
432,06/09/1966,1157,Massey Park
433,10/09/1966,1007,Eden Park
434,14/09/1966,1158,Empire Stadium
435,17/09/1966,1004,Toronto
436,18/05/1968,1105,Olen Park
437,22/05/1968,1044,Newlands
438,25/05/1968,1095,Van Rieebeck Ground
439,29/05/1968,1049,Boet Erasmus Stadium
440,01/06/1968,1098,King's Park
441,03/06/1968,1104,Police Ground
442,08/06/1968,1008,Loftus Versfeld
443,12/06/1968,1159,Danie Kuys Stadium
444,15/06/1968,1137,South-West Stadium
445,18/06/1968,1056,Emirates Airline Park
446,22/06/1968,1008,Boet Erasmus Stadium
447,29/06/1968,1140,PAM Stadium
448,03/07/1968,1130,Loftus Versfeld
449,06/07/1968,1047,De Beers Stadium
450,08/07/1968,1139,Boland Stadium
451,13/07/1968,1008,Newlands
452,17/07/1968,1101,BRU Ground
453,20/07/1968,1107,Free State Stadium
454,22/07/1968,1100,Cradock Rovers Ground
455,27/07/1968,1008,Emirates Airline Park
456,12/05/1971,1035,Ballymore
457,15/05/1971,1027,Sydney Cricket Ground
458,22/05/1971,1157,Pukekohe Stadium
459,26/05/1971,1155,Spriggens Park
460,29/05/1971,1146,Rugby Park
461,02/06/1971,1117,Eden Park
462,05/06/1971,1023,Athletic Park
463,09/06/1971,1144,Fraser Park
464,12/06/1971,1021,Carisbrook
465,16/06/1971,1086,Rugby Park
466,19/06/1971,1022,Lancaster Park
467,22/06/1971,1087,Lansdowne Park
468,26/06/1971,1007,Carisbrook
469,30/06/1971,1084,Rugby Park
470,03/07/1971,1090,Rugby Park
471,06/07/1971,1143,Athletic Park
472,10/07/1971,1007,Lancaster Park
473,14/07/1971,1115,Memorial Park
474,17/07/1971,1039,McLean Park
475,21/07/1971,1118,Rugby Park
476,24/07/1971,1026,Eden Park
477,31/07/1971,1007,Athletic Park
478,04/08/1971,1089,Showgrounds Oval
479,07/08/1971,1119,Okara Park
480,10/08/1971,1154,Domain
481,14/08/1971,1007,Eden Park
482,15/05/1974,1105,Olen Park
483,18/05/1974,1137,South-West Stadium
484,23/05/1974,1139,Boland Stadium
485,26/05/1974,1049,Boet Erasmus Stadium
486,29/05/1974,1095,Van Rieebeck Ground
487,01/06/1974,1044,Newlands
488,04/06/1974,1160,Goodwood Showground
489,08/06/1974,1008,Newlands
490,11/06/1974,1103,Newlands
491,15/06/1974,1056,Emirates Airline Park
492,18/06/1974,1104,Police Ground
493,22/06/1974,1008,Loftus Versfeld
494,27/06/1974,1161,Emirates Airline Park
495,29/06/1974,1107,Free State Stadium
496,03/07/1974,1047,De Beers Stadium
497,06/07/1974,1130,Loftus Versfeld
498,09/07/1974,1162,"Sisa Dukashe Stadium,Mdantsane"
499,13/07/1974,1008,Boet Erasmus Stadium
500,17/07/1974,1101,BRU Ground
501,20/07/1974,1098,King's Park Stadium
502,23/07/1974,1140,PAM Stadium
503,27/07/1974,1008,Emirates Airline Park
504,18/05/1977,1115,Memorial Park
505,21/05/1977,1039,McLean Park
506,25/05/1977,1118,Rugby Park
507,28/05/1977,1090,Rugby Park
508,01/06/1977,1155,Taumarunui
509,04/06/1977,1089,Palmerston North
510,08/06/1977,1021,Carisbrook
511,11/06/1977,1084,Rugby Park
512,14/06/1977,1143,Lancaster Park
513,18/06/1977,1007,Athletic Park
514,22/06/1977,1144,Fraser Park
515,25/06/1977,1022,Lancaster Park
516,29/06/1977,1086,Westport
517,02/07/1977,1023,Athletic Park
518,05/07/1977,1087,Lansdowne Park
519,09/07/1977,1007,Lancaster Park
520,13/07/1977,1117,Eden Park
521,16/07/1977,1146,Rugby Park
522,20/07/1977,1147,Athletic Park
523,23/07/1977,1026,Eden Park
524,30/07/1977,1007,Carisbrook
525,03/08/1977,1157,Pukekohe Stadium
526,06/08/1977,1119,Okara Park
527,09/08/1977,1154,Rotorua
528,13/08/1977,1007,Eden Park
529,16/08/1977,1005,Buckhurst Ground
530,10/09/1977,#N/A,Twickenham Stadium
531,10/05/1980,1049,Boet Erasmus Stadium
532,14/05/1980,1163,BRU Ground
533,17/05/1980,1098,King's Park
534,21/05/1980,1164,Olen Park
535,24/05/1980,1107,Free State Stadium
536,27/05/1980,1160,Danie Craven Stadium
537,31/05/1980,1008,Newlands
538,04/06/1980,1165,South-West Stadium
539,07/06/1980,1056,Wanderers Ground
540,10/06/1980,1140,PAM Stadium
541,14/06/1980,1008,Free State Stadium
542,18/06/1980,1141,Wanderers Ground
543,21/06/1980,1130,Loftus Versfeld
544,28/06/1980,1008,Boet Erasmus Stadium
545,02/07/1980,1166,King's Park
546,05/07/1980,1044,Newlands
547,08/07/1980,1047,De Beers Stadium
548,12/07/1980,1008,Loftus Versfeld
549,14/05/1983,1042,Spriggens Park
550,18/05/1983,1026,Eden Park
551,21/05/1983,1154,International Park
552,25/05/1983,1023,Athletic Park
553,28/05/1983,1167,Showgrounds Oval
554,31/05/1983,1168,Ashburton Showgrounds
555,04/06/1983,1007,Lancaster Park
556,08/06/1983,1133,Rugby Park
557,11/06/1983,1084,Rugby Park
558,14/06/1983,1115,Memorial Park
559,18/06/1983,1007,Athletic Park
560,25/06/1983,1119,Okara Park
561,28/06/1983,1022,Lancaster Park
562,02/07/1983,1007,Carisbrook
563,06/07/1983,1039,McLean Park
564,09/07/1983,1169,Pukekohe Stadium
565,12/07/1983,1146,Rugby Park
566,16/07/1983,1007,Eden Park
567,16/04/1986,#N/A,Cardiff Arms Park
568,10/06/1989,1122,Perry Lakes Stadium
569,14/06/1989,1170,Olympic Park
570,17/06/1989,1035,Ballymore
571,21/06/1989,1171,Barlow Park
572,24/06/1989,1027,North Sydney Oval
573,27/06/1989,1172,Apex Oval
574,01/07/1989,1002,Sydney Football Stadium
575,04/07/1989,1173,Seiffert Oval
576,08/07/1989,1002,Ballymore
577,15/07/1989,1002,Sydney Football Stadium
578,19/07/1989,1135,No.2 Sportsground
579,23/07/1989,1174,Ballymore
580,04/10/1989,1006,Parc des Princes
581,22/05/1993,1119,Whangarei
582,26/05/1993,1175,Auckland
583,29/05/1993,1117,Athletic Park
584,02/06/1993,1022,Lancaster Park
585,05/06/1993,1021,Carisbrook
586,08/06/1993,1084,Invercargill
587,12/06/1993,1007,Lancaster Park
588,16/06/1993,1090,Rugby Park
589,19/06/1993,1026,Eden Park
590,22/06/1993,1039,McLean Park
591,26/06/1993,1007,Athletic Park
592,29/06/1993,1146,Rugby Park
593,03/07/1993,1007,Eden Park
594,24/05/1997,1176,Boet Erasmus Stadium
595,28/05/1997,1101,Basil Kenyon Stadium
596,31/05/1997,1044,Newlands
597,03/06/1997,1177,Johann van Riebeeck Stadium
598,07/06/1997,1130,Loftus Versfeld
599,11/06/1997,1178,Emirates Airline Park
600,14/06/1997,1098,King's Park
601,17/06/1997,1141,Boland Stadium
602,21/06/1997,1008,Newlands
603,24/06/1997,1107,Free State Stadium
604,28/06/1997,1008,King's Park
605,01/07/1997,1179,Noord-wes Stadium
606,05/07/1997,1008,Emirates Airline Park
607,08/06/2001,1122,WACA
608,12/06/2001,1180,Dairy Farmers Stadium
609,16/06/2001,1035,Ballymore
610,19/06/2001,1181,North Power Stadium
611,23/06/2001,1027,Sydney Football Stadium
612,26/06/2001,1182,Coffs Harbour Int Stadium
613,30/06/2001,1002,The Gabba
614,03/07/2001,1173,Bruce Stadium
615,07/07/2001,1002,Melbourne Colonial Stadium
616,14/07/2001,1002,Stadium Australia
617,23/05/2005,#N/A,Millennium Stadium
618,04/06/2005,1154,International Park
619,08/06/2005,1090,Yarrow Stadium
620,11/06/2005,1117,Waikato Stadium
621,15/06/2005,1023,Westpac Stadium
622,18/06/2005,1021,Dunedin
623,21/06/2005,1084,Rugby Park
624,25/06/2005,1007,Jade Stadium
625,28/06/2005,1167,Arena Manawatu
626,02/07/2005,1007,Westpac Stadium
627,05/07/2005,1026,Eden Park
628,09/07/2005,1007,Eden Park
629,30/05/2009,1183,Royal Bafokeng Sports Palace
630,03/06/2009,1178,Coca-Cola Park
631,06/06/2009,1184,Vodacom Park
632,10/06/2009,1185,The ABSA Stadium
633,13/06/2009,1044,Newlands
634,16/06/2009,1186,Nelson Mandela Bay Stadium
635,20/06/2009,1008,The ABSA Stadium
636,23/06/2009,1187,Newlands
637,27/06/2009,1008,Loftus Versfeld
638,04/07/2009,1008,Coca-Cola Park
639,01/06/2013,1003,Hong Kong Stadium
640,05/06/2013,1188,Patersons Stadium
641,08/06/2013,1035,Suncorp Stadium
642,11/06/2013,1189,Hunter Stadium
643,15/06/2013,1027,Allianz Stadium
644,18/06/2013,1173,Canberra Stadium
645,22/06/2013,1190,Suncorp Stadium
646,25/06/2013,1191,AAMI Park
647,29/06/2013,1190,Etihad Stadium
648,06/07/2013,1190,ANZ Stadium
649,03/06/2017,1192,"Toll Stadium, Whangarei"
650,07/06/2017,1193,Eden Park Auckland
651,10/06/2017,1194,AMI Stadium Christchurch
652,13/06/2017,1195,"Forsyth Barr Stadium, Dunedin"
653,17/06/2017,1196,Rotorua International Stadium
654,20/06/2017,1197,"Waikato Stadium, Hamilton"
655,24/06/2017,1007,Eden Park Auckland
656,27/06/2017,1198,Westpac Stadium Wellington
657,01/07/2017,1007,Westpac Stadium Wellington
658,08/07/2017,1007,Eden Park Auckland
