MatchID,DateOfMatch,Fullback,RightWinger,OutsideCentre,InsideCentre,LeftWinger,FlyHalf,ScrumHalf,LooseHeadProp,Hooker,TightHeadProp,SecondRow4,SecondRow5,BlindSideFlanker,OpensideFlanker,Number8,Replacement1,Replacement2,Replacement3,Replacement4,Replacement5,Replacement6,Replacement7,Replacement8,MatchesID
3528,01/02/1998,Jim Mallinder ,David Rees,Jos Baxendell,Chris Yates,Tom Beim,Simon Mannix,Kevin Ellis,Danny Williamson,Steve Diamond,Duncan Bell,Dave Baldwin,Simon Raiwalui,Dylan O'Grady,Pat Sanderson,Dion O'Cuinneagain,Murray Driver,Shane Howarth,David Erskine,Graham Dawe,Chris Murphy,Richard Smith,NULL,NULL,3523
3529,15/02/1998,Jim Mallinder ,David Rees,Jos Baxendell,Chris Yates,Tom Beim,Simon Mannix,Kevin Ellis,Danny Williamson,Steve Diamond,Duncan Bell,Dave Baldwin,Simon Raiwalui,Pat Sanderson,Dylan O'Grady,Dion O'Cuinneagain,Graham Dawe,Shane Howarth,Richard Smith,Murray Driver,Chris Murphy,David Erskine,NULL,NULL,3524
3530,24/02/1998,Jim Mallinder ,Matt Moore,Jos Baxendell,Chris Yates,Tom Beim,Simon Mannix,Kevin Ellis,Danny Williamson,Steve Diamond,Duncan Bell,Dave Baldwin,Simon Raiwalui,Dylan O'Grady,Pat Sanderson,Dion O'Cuinneagain,Chris Murphy,Richard Smith,Shane Howarth,David Erskine,Murray Driver,Graham Dawe,NULL,NULL,3525
3531,10/03/1998,Jim Mallinder ,Matt Moore,Jos Baxendell,Chris Yates,Tom Beim,Shane Howarth,Richard Smith,Phil Winstanley,Graham Dawe,Murray Driver,Dave Baldwin,Simon Raiwalui,David Erskine,Dylan O'Grady,Dion O'Cuinneagain,Duncan Bell,Pete Anglesea,Kevin Ellis,Matt Tetlow,Pat Sanderson,Steve Diamond,NULL,NULL,3526
3532,14/03/1998,Jim Mallinder ,David Rees,Jos Baxendell,Chris Yates,Tom Beim,Shane Howarth,Kevin Ellis,Phil Winstanley,Steve Diamond,Duncan Bell,Dave Baldwin,Simon Raiwalui,David Erskine,Pat Sanderson,Dion O'Cuinneagain,Matt Tetlow,Richard Smith,Murray Driver,Dylan O'Grady,Pete Anglesea,Graham Dawe,NULL,NULL,3527
3533,11/04/1998,Jim Mallinder ,Matt Moore,Jos Baxendell,Chris Yates,Tom Beim,Shane Howarth,Kevin Ellis,Phil Winstanley,Steve Diamond,Duncan Bell,Dave Baldwin,Simon Raiwalui,Dylan O'Grady,Pete Anglesea,Dion O'Cuinneagain,Richard Smith,Steve Davidson,Pat Sanderson,Chris Murphy,Graham Dawe,Danny Williamson,NULL,NULL,3528
3534,15/04/1998,Jim Mallinder ,Matt Moore,Jos Baxendell,Chris Yates,Tom Beim,Shane Howarth,Kevin Ellis,Phil Winstanley,Steve Diamond,Duncan Bell,Dave Baldwin,Simon Raiwalui,Dylan O'Grady,Pete Anglesea,Dion O'Cuinneagain,Steve Davidson,Pat Sanderson,Richard Smith,Danny Williamson,Chris Murphy,Graham Dawe,NULL,NULL,3529
3535,18/04/1998,Jim Mallinder ,Matt Moore,Jos Baxendell,Steve Davidson,Tom Beim,Shane Howarth,Kevin Ellis,Paul Smith,Steve Diamond,Duncan Bell,Dave Baldwin,Simon Raiwalui,Pete Anglesea,Dylan O'Grady,Dion O'Cuinneagain,Pat Sanderson,Danny Williamson,Graham Dawe,Matt Tetlow,Richard Smith,Chris Murphy,NULL,NULL,3530
3536,25/04/1998,Jim Mallinder ,Matt Moore,Jos Baxendell,Steve Davidson,Tom Beim,Shane Howarth,Richard Smith,Phil Winstanley,Graham Dawe,Duncan Bell,Dave Baldwin,Simon Raiwalui,Pat Sanderson,Dylan O'Grady,David Erskine,Chris Murphy,Steve Diamond,Kevin Ellis,Matt Tetlow,Pete Anglesea,Danny Williamson,NULL,NULL,3531
3537,02/05/1998,Jim Mallinder ,Matt Moore,Jos Baxendell,Steve Davidson,Tom Beim,Shane Howarth,Kevin Ellis,Phil Winstanley,Steve Diamond,Duncan Bell,Dave Baldwin,Simon Raiwalui,Pat Sanderson,Dylan O'Grady,David Erskine,Dion O'Cuinneagain,Chris Murphy,Richard Smith,Matt Tetlow,Graham Dawe,Danny Williamson,NULL,NULL,3532
3538,10/05/1998,Jim Mallinder ,Matt Moore,Jos Baxendell,Steve Davidson,Tom Beim,Shane Howarth,Richard Smith,Phil Winstanley,Steve Diamond,Duncan Bell,Dave Baldwin,Simon Raiwalui,Pete Anglesea,Pat Sanderson,Dion O'Cuinneagain,Chris Murphy,Chris Yates,Graham Dawe,Kevin Ellis,David Erskine,Danny Williamson,NULL,NULL,3533
3539,17/05/1998,Jim Mallinder ,Matt Moore,Jos Baxendell,Chris Yates,Tom Beim,Shane Howarth,Kevin Ellis,Phil Winstanley,Steve Diamond,Duncan Bell,Dave Baldwin,Chris Murphy,Pat Sanderson,Dylan O'Grady,David Erskine,Dion O'Cuinneagain,Graham Dawe,Danny Williamson,Steve Davidson,Pete Anglesea,Richard Smith,NULL,NULL,3534
3540,05/09/1998,Shane Howarth ,Matt Moore,Steve Davidson,Chris Yates,Dion O'Cuinneagain,Jos Baxendell,Richard Smith,Paul Smith,Steve Diamond,Duncan Bell,Simon Raiwalui,Chris Murphy,Pete Anglesea,Pat Sanderson,Jan Machacek,Kevin Ellis,John Devereux,Simon Mills,Dave Baldwin,Andrew Smith,Phil Winstanley,Damien Geraghty,NULL,3535
3541,12/09/1998,Steve Davidson,Matt Moore,Matt Tetlow,Chris Yates,Tom Beim,Shane Howarth ,Richard Smith,Phil Winstanley,Damien Geraghty,Andrew Smith,Dave Baldwin,Chris Murphy,Pete Anglesea,Pat Sanderson,Jan Machacek,Kevin Ellis,John Devereux,Joe Shaw,Simon Mills,Alex Sanderson,Duncan Bell,Graham Dawe,NULL,3536
3542,20/09/1998,Steve Davidson,Matt Moore,Matt Tetlow,Chris Yates,Tom Beim,Shane Howarth ,Kevin Ellis,Phil Winstanley,Graham Dawe,Duncan Bell,Chris Murphy,Dave Baldwin,Pete Anglesea,Pat Sanderson,Jan Machacek,Richard Smith,John Devereux,Barrie-Jon Mather,Danny Williamson,Damien Geraghty,Simon Mills,Alex Sanderson,NULL,3537
3543,26/09/1998,Steve Davidson,Matt Moore,Shane Howarth ,Chris Yates,Tom Beim,Jos Baxendell,Richard Smith,Phil Winstanley,Damien Geraghty,Danny Williamson,Dave Baldwin,Chris Murphy,Pete Anglesea,Pat Sanderson,Jan Machacek,Kevin Ellis,Barrie-Jon Mather,John Devereux,Simon Mills,Alex Sanderson,Duncan Bell,Steve Diamond,NULL,3538
3544,03/10/1998,Steve Davidson,Barrie-Jon Mather,Shane Howarth ,John Devereux,Tom Beim,Jos Baxendell,Richard Smith,Phil Winstanley,Steve Diamond,Andrew Smith,Simon Raiwalui,Chris Murphy,Pete Anglesea,Pat Sanderson,Jan Machacek,Kevin Ellis,Chris Yates,Steve Hanley,Duncan Bell,Alex Sanderson,Danny Williamson,Damien Geraghty,NULL,3539
3545,17/10/1998,Shane Howarth ,Steve Hanley,Barrie-Jon Mather,John Devereux,Steve Davidson,Jos Baxendell,Richard Smith,Duncan Bell,Steve Diamond,Andrew Smith,Simon Raiwalui,Chris Murphy,Pete Anglesea,Pat Sanderson,Jan Machacek,Kevin Ellis,Chris Yates,Matt Moore,Dion O'Cuinneagain,Dave Baldwin,Danny Williamson,Damien Geraghty,NULL,3540
3546,24/10/1998,Shane Howarth ,Steve Davidson,Barrie-Jon Mather,John Devereux,Tom Beim,Jos Baxendell,Richard Smith,Duncan Bell,Damien Geraghty,Andrew Smith,Simon Raiwalui,Chris Murphy,Pete Anglesea,Alex Sanderson,Dion O'Cuinneagain,Kevin Ellis,Jim Mallinder,Matt Moore,Dave Baldwin,Danny Williamson,Steve Diamond,NULL,NULL,3541
3547,28/10/1998,Jim Mallinder ,Matt Moore,Shane Howarth,John Devereux,Tom Beim,Jos Baxendell,Richard Smith,Duncan Bell,Damien Geraghty,Andrew Smith,Simon Raiwalui,Chris Murphy,Dion O'Cuinneagain,Pat Sanderson,Jan Machacek,Kevin Ellis,Chris Yates,Steve Davidson,Dave Baldwin,Alex Sanderson,Danny Williamson,Steve Diamond,NULL,3542
3548,07/11/1998,Jim Mallinder ,Matt Moore,Shane Howarth,Steve Davidson,Tom Beim,Jos Baxendell,Kevin Ellis,Phil Winstanley,Steve Diamond,Duncan Bell,Simon Raiwalui,Dave Baldwin,Dion O'Cuinneagain,Pat Sanderson,Jan Machacek,Richard Smith,Barrie-Jon Mather,David Rees,Pete Anglesea,Chris Murphy,Danny Williamson,Phil Greening,NULL,3543
3549,13/11/1998,Jim Mallinder ,David Rees,Steve Davidson,Chris Yates,Matt Moore,Jos Baxendell,Kevin Ellis,Phil Winstanley,Steve Diamond,Duncan Bell,Dave Baldwin,Simon Raiwalui,Alex Sanderson,Pete Anglesea,Pat Sanderson,Richard Smith,Barrie-Jon Mather,Steve Hanley,Andy Morris,Chris Murphy,Danny Williamson,Damien Geraghty,NULL,3544
3550,22/11/1998,Jim Mallinder ,David Rees,Steve Davidson,Chris Yates,Matt Moore,Jos Baxendell,Kevin Ellis,Phil Winstanley,Steve Diamond,Duncan Bell,Simon Raiwalui,Dave Baldwin,Alex Sanderson,Pat Sanderson,Pete Anglesea,Richard Smith,Barrie-Jon Mather,Tom Beim,Chris Murphy,Jan Machacek,Danny Williamson,Damien Geraghty,NULL,3545
3551,12/12/1998,Jim Mallinder ,Matt Moore,Steve Davidson,Chris Yates,Steve Hanley,Shane Howarth,Richard Smith,Phil Winstanley,Steve Diamond,Duncan Bell,Simon Raiwalui,Dave Baldwin,Pete Anglesea,Pat Sanderson,Dion O'Cuinneagain,Kevin Ellis,Barrie-Jon Mather,Phil Greening,Danny Williamson,Chris Murphy,Alex Sanderson,Jos Baxendell,NULL,3546
