DateOfMatch,SinBin1,SinBin2,SinBin3,SinBin4,SinBin5,MatchesID,SinBinsID
25/09/1999,Chris Murphy,Mark Tinnock,NULL,NULL,NULL,NULL,1056
02/10/1999,NULL,NULL,NULL,NULL,NULL,NULL,1057
10/10/1999,NULL,NULL,NULL,NULL,NULL,NULL,1058
17/10/1999,NULL,NULL,NULL,NULL,NULL,NULL,1059
29/10/1999,NULL,NULL,NULL,NULL,NULL,NULL,1060
05/11/1999,NULL,NULL,NULL,NULL,NULL,NULL,1061
13/11/1999,NULL,NULL,NULL,NULL,NULL,NULL,1062
04/12/1999,NULL,NULL,NULL,NULL,NULL,NULL,1063
26/12/1999,NULL,NULL,NULL,NULL,NULL,NULL,1064
29/12/1999,NULL,NULL,NULL,NULL,NULL,NULL,1065
23/01/2000,NULL,NULL,NULL,NULL,NULL,NULL,1066
